Beryll|+Beryll
George Escobar|Advent Film Group
Advent International Corporation|Advent International
Advent Software Inc.|Advent Software, Inc.
Adventist Health System|Adventist Health Network
Adventist missionary|Office of Adventist Mission
Adventure Paramotor SA|Adventure Paramotor
Adventure Soft|AdventureSoft
Adventures by disney|Adventures by Disney
National Advertising Review Council|Advertising Self-Regulatory Council
Advertising Speciality Institute|Advertising Specialty Institute
Cambria Global Tactical ETF|AdvisorShares Investments, Inc.
AdvoCare International|Advocare
Advocacy for respect for cyclists|Advocacy for Respect for Cyclists
Aecon|Aecon Group
Aedas|Abbey Holford Rowe
Aegean Marine Petroleum|Aegean Marine Petroleum Network Inc.
Aegis Ltd|Aegis Ltd.
Aegis Defence Services|Aegis Defense Services
AEGON UK|Aegon UK
Aeluros|Aeluros Inc
Aeotec|Aeon Labs
AerCap Holdings N.V.|AerCap
AerSale, Inc.|AerSale
Aerarann.com|Air Arann
CalResources LLC|Aera Energy
A.b.c. tea shops|Aerated bread
AERFER|Aerfer
Aeria Games & Entertainment|Dawn of Gods
Mercury Aircraft|Aerial Service Corporation
Aerion Corp.|Aerion
Aeronautica Macchi|Alenia Aermacchi Spa
AeroAndina|AeroAndina SA
AeroLites, Inc.|Aerolites Inc.
Aerovironment|Aerovironment, Inc.
Arnet Pereyra Inc|Aero Adventure Aviation
Aero Boero|Aero Boero S.A.
Aero Controls|Aero Controls, Inc.
Aero Engineers Australia|Aeronautical Engineers Australia
Aero Nord ULM|Aero Nord
Aero Synergie|Aero Synergie SARL
Western Air Industries|Aero Union
AERO Vodochody AEROSPACE a.s.|Aero Vodochody
Aerobics and Fitness Association of America|Aerobics and fitness association of america
Aerochute International Pty. Ltd|Aerochute
Aeroexpresos Ejecutivos, C.A.|Aerorexpresos Ejecutivos, C. A.
Willtek|Aeroflex
Aeroframe Services, LLC|Aeroframe
Aerohive Networks, Inc.|Aerohive Networks
Aerojet-General Corporation|Aerojet
GenCorp Inc.|Aerojet Rocketdyne Holdings Inc.
Aeromarine Plane & Motor Company|Aeromarine Plane and Motor Company
Aeronca|Aeronca, Incorporated
Aeronautica Industrial|AISA
Aerophile SAS|Aerophile
Aeroplan Canada|Aeroplan
Aeroplanes DAR Ltd|Aeroplanes DAR
Aeropuertos y servicios auxiliares|Aeropuertos y Servicios Auxiliares
Aerosonde|Aerosonde Ltd
Manufacturer's Aircraft Association|Aerospace Industry Association
Aerostar|Aerostar SA
Aerostich|Aero Design and Manufacturing
PT. Aerowisata|Aerowisata
Aethlon Medical|Aethlon Medical, Inc.
Aetna Incorporated|Aetna Inc.
Aetos Security Management Private Limited|AETOS Auxiliary Police Force
Aetrium Inc.|Aetrium Incorporated
Affiliated Computer|LiveBridge
Affiliated Foods Midwest|Affiliated Foods Midwest Co-op Inc.
Affiliated Managers Group Inc.|Affiliated Managers Group
Affinia Hospitality|Affinia Hotel Collection
Travelers Advantage|Affinion Security Center
UBS Capital Asia|Affinity Equity
Affinity Gaming|Terrible's
Affliction clothing|Affliction Clothing
Affliction Entertainment|Affliction 3
Affy|Affymetrix Inc.
AFSD|AFLAC, Inc.
AfrAsia Bank Limited|Afrasia Bank Limited
Afrasia Bank Zimbabwe Limited|AfrAsia Bank Zimbabwe Limited
Africa-Israeli Investments|Africa-Israel Investments Limited
African Bank Investments|African Bank Limited
African Diamond Producers Association|African Diamond Producing Countries' Association
AEMFC|African Exploration Mining and Finance Corporation
Afreximbank|African Export-Import Bank
Africo Resources|Africo Resources, Ltd.
Afrihost|Brendan Armstrong
Afriland First Bank|Afriland
afrol News|Afrol
After Dark Originals|After Dark Films
AH.FM|Afterhours.FM
Aftermath, Inc.|Aftermath Services LLC
AgStar Financial Services, ACA|AgStar Financial Services
New Manitoba Brewing|Agassiz Brewing
Agava|Agava Inc.
Age Concern Cymru|Age Concern
Age Northern Ireland|Age Concern Northern Ireland
Age concern and help the aged|Age UK
Northern Star Insurance Co|Ageas
AGEIA|Ageia
Agel Enterprises|Agel Enterprises, LLC
Agence France-presse|AFP agency
Agence Vu'|Gallery Vu
Agencia Carabobena de Noticias|Carabobo news agency
Agencia bolivariana de noticias|Agencia Venezolana de Noticias
Agency for the performing arts|Agency for the Performing Arts
Agent Provocateur|Dirty Stop Out
Agenus Inc.|Antigenics Inc.
Agenzia Giornalistica Italia|Agi.it
Francesca Ambrogetti|Agenzia Nazionale Stampa Associata
Agere Systems|AT&T Microelectronics
ROMPRES|Rompres
Ascii Game Entertainment Technology|Agetec Inc.
Agfa-Gevaert N.V.|AGFA
Aggregate Industries-Mid Atlantic Region|Aggregate Industries-Southwest Region
Aggreko|Aggreko Engineering
Agile networks|Agile Networks
NYSE:A|MassHunter
Infrastructure|Public Warehousing Co K.S.C.
Agip|AGIP
Saietta Engineering|Agni Motors
Agnico Eagle Mines|Agnico-Eagle
Gazeta.pl|Agora SA
Agricore United, Inc.|Agricore United
Agbank|Agricultural bank of china
Libyan Agricultural Bank|Agricultural Bank of Libya
Agricultural Cooperative Bank of Iraq|Agricultural cooperative bank of iraq
The Agricultural Engineers Association|Agricultural Engineers Association Limited
Agricultural Promotion and Investment Corporation of Odisha Limited|Agricultural Promotion and Investment Corporation Of Odisha Limited
Volcani Center|Wolkani Institute
Agricultural Development Bank Limited|Agriculture Development Bank Limited
Agriculture Insurance Company Of India|Agriculture Insurance Company of India
Heshy Rubashkin|Agriprocessor
Agriterra|White Nile Limited
Agrium|Crop Production Services
Agro Bank Malaysia|Agrobank
AGROFERT, a.s.|Agrofert Holding
Agrokor d.d.|Agrokor
Agropur|Schroeder Milk
Agua Imara AS|SN Power AfriCA
Elicotteri Meridionali|Agusta
European Helicopter Industries|AgustaWestland
Ahava|Ahava Dead Sea Laboratories, Limited
Ahlibank|Ahli Bank
Ahlstroem|A. Ahlstrom
Vaccine 3|Hackshield
Koninklijke Ahold N.V.|Ahold
AHOLD Czech Republic|Ahold Czech Republic
Ahrens Fox|Ahrens-Fox
AiLive Inc.|IKuni
aiScaler Ltd|AiScaler
Planet Lar|AiT/Planet Lar
Aichi Steel Corporation|Aichi Steel
Yumekobo|List of Yumekobo games
Beijing Huaqi|Beijing Huaqi Information Digital Technology Co Ltd
G Media|Aiir
Aikenheads|Aikenhead's Hardware
Aimco|AIMCO
Aimia Inc.|AIMIA
Aimpoint AB|Aimpoint
Ainokaze Toyama Railway Line|Ainokaze Toyama Railway
Ainol|Shenzhen Ainol Electronics Co., Ltd.
Aiplex Software Pvt.Ltd.|Aiplex Software Pvt. Ltd.
AirLaunch LLC|Airlaunch LLC
AirLony Aircraft Company|Airlony
AirPatrol|AirPatrol Corporation
AirSet, Inc.|AirSet
AirTouch Communications, Inc.|AirTouch Communications
AirTran Holdings Inc.|Airtran Holdings Inc.
AirWatch by VMware|AirWatch
Air Cargo Inc|Aircargo Communities Inc
Air Command International, Inc.|Air Command International Inc.
Air France-KLM Group SA|Air France- KLM Group
NACIL|National Aviation Company of India Ltd
Air lease corp|Air Lease Corp.
Air Liquide Electronics|U.S.Divers
LifeNet, Inc.|Mercy Air Services, Inc.
Air Partner PLC|Air Partner
Air Products & Chemicals Inc|Air Products and Chemicals, Inc
Air Techniques, Inc.|Air Techniques
Air Tractor Inc.|Air Tractor series
Air Transport Services Group, Inc|Air Transport Services Group
Air Weapons Complex|Air Weapon Complex
Airborne Athletics, Inc|Airborne Athletics
Airborne Express|Airborne Flower Traffic Association of California
Airborne Australia|Airborne Windsports
Airbus.fr|Airbus A360
Cassidian|Airbus Defence and Space
Airbus Group, Inc.|Airbus Group, Inc
EADS Defense & Security Systems|EADS Innovation Works
Airbus Helicopters, Inc.|American Eurocopter
Airbus Helicopters|EuroCopter
Airbus Military S.A.S.|Airbus Military
Airbus prosky|Airbus ProSky
Aircastle Limited|Aircastle
Aircel.co.in|Aircel
Aircel Insulation|Aircel Publishing
Airclic|AirClic
Airco|The Aircraft Manufacturing Company Limited
Aircraft Designs|Aircraft Designs Inc
Aircraft Manufacturing and Development Company|Aircraft Manufacturing and Design
Aircraft Operating Company Ltd|Aircraft Operating Company
Aeroplane Manufactory|Aircraft Sales & Parts
Aircraft Spruce|Aircraft Spruce & Specialty Co.
Aird & Berlis LLP|Aird & Berlis
Airdale|Airdale Sportplane and Supply
Airdrome Aeroplanes|Airdrome Nieuport 25
Airfer Paramotores|Paramotores Air-Future, S.L.
Airflow Developments|Airflow Developments Limited
Airframes Unlimited|Powered Parachute Plans
Airgas Inc.|Airgas, Inc.
Airgo Networks|Airgo
Airhitch|Air-Hitch
Airiti Inc.|Airiti Inc
Airo Aviation|Airo Aviation FZ-LLC
Airpac Enterprises|Airpac Enterprises, Inc.
Airports authority of india|Airport Authority of India
Airports Authority of Trinidad and Tobago|Airports Authority Trinidad and Tobago
Airports Company South Africa Limited|Airports Company South Africa
Airports of Thailand PLC|Airports of Thailand
Aircraft Products|Airscoot
Airship Technologies|Airship Developments
Airspeed|Airspeed Aircraft
Airsport|Airsport sro
Airtag|AIRTAG
Airtel Bangladesh|airtel Bangladesh Limited
Airtel India|Airtel india
Bharti Airtel Lanka|Airtel sri lanka
Airtel Tanzania|Celtel Tanzania
Airtel Digital Tv|List of channels on airtel dth
Eirtricity|SSE Airtricity, Ltd
Airwave Solutions|Airwave Solutions Ltd
Airways Flying Club|British airways flying club
Airways NZ|Airways Corporation of New Zealand Limited
First Hop|Airwide Solutions
Aishin Seiki Kabushiki Kaisha|Aisin Seiki
Aitken Spence PLC|Aitken Spence
The Aiwa Corporation|AIWA
NICE Car Company|Aixam-Mega
AIXTRON SE|Aixtron AG
Ajanta Pharma|Ajanta Pharma Limited
Devgan Entertainment Software|Ajay Devgn Films
AJEGROUP|Ajegroup
Ajiado|Ajia-do Animation Works
Ajinomoto OmniChem|China salt
Ajisen|Ajisen Ramen
AJLAN & BROTHERS|Ajlan & Brothers
Akai Electric Company|Akai
Akana|SOA Software
Akaneshinsha|Akane Shinsha
Akebono Brake Industry Co., Ltd.|Akebono Brake Industry
Aker ASA|Akers Mekaniske Verksted
Aker Arctic|Aker Arctic Technology Inc.
Arne Hygen Tornkvist|Aker Floating Production
Aker Solutions|Aker Solutions ASA
Aker Verdal|Aker Kvaerner Verdal
Akfen Holding|Akfen
Akita Ginko|Akita GInkou
Akkord Industry Construction Investment Corporation|Akkord Corporation
Akraya inc|Akraya, Inc.
AkroTech Aviation|AcroTech Aviation
Aksys Games|Aksys
Aktia Savings Bank|Aktia Bank
Akwa Group|Afriquia
Enka BV|Akzo Nobel NV
Al-Amanah Islamic Investment Bank of the Philippines|Al Amanah Islamic Investment Bank of the Philippines
ALANON|Al anon
Al-barakat|Al Barakaat
Al-Mansour Automotive|Al-Monsour Automotive
Al-Muhaidib|Muhaidib
Al Rajhi Banking and Investment Corporation|Al-Rajhi Bank
Al maghrib|Muhammad alshareef
Al Baik|Foods Company
Bank Al-Bilad|Al-Bilad Bank
Al Dahra Agricultural Company|Al dahra Agricultural Company
Al Fajer Properties|Al Fajer Properties, L.L.C.
Al-Gamil|Al Ghamil
Al Ghurair Group|AlGhurair
Al Ghurair Investment LLC|Al Ghurair Investment
Qatar Media Corporation|Al Jazeera Media Network
Al Madina Takaful|Al Madina Insurance Company SAOG
Al Nassma Chocolate|Al Nassma Chocolate LLC
Al Noor Hospital|Al Noor hospital
Islamic Bank of Britain|Al Rayan Bank plc
Al watany bank of egypt|Al Watany Bank of Egypt
Yahsat|Al Yah Satellite Communications
Al Yarmook Hajj Umrah Tours and Travels|AL YARMOOK HAJJ UMRAH
Alabama National Bancorporation|Alabama National BanCorp
Alabama Power Company|Alabama Power Appliance Centers
Alacra|Alacra, Inc.
Aladdin Knowledge Systems Ltd.|Aladdin Knowledge Systems
Alabama Gas Corporation|Alagasco
Alameda Power & Telecom|Alameda Municipal Power
Alamo Drafthouse Cinemas Ltd|Alamo Drafthouse Cinemas
Alamo Rent-A-Car|Alamo car rental
Alan Class and Co. Ltd|Alan Class Comics
Alarko Holding|Alarko
Alarm.com|Alarm.com, Inc.
AlarmForce Industries Inc|AlarmForce Industries Inc.
Alasin media|Alasin Media Oy
Alaska-Gastineau Mining Company|Alaska-Gastineau Mining Co.
Alaska's World|Alaska Air Group, Inc.
Alaska Communications|Alaska Communications Systems
Alaska Native Arts Foundation|Alaska Native Arts
Alaska USA Federal Credit Union|Alaska USA
Alaskan Brewing Company|Alaskan Brewing and Bottling Company
Alawar Games|Natural Threat: Ominous Shores
Alaxala|Alaxala Networks
Albani Breweries|Albani Brewery
Albanian American Enterprise Fund|AAEF
Albany Runabout|Albany Automobile Company
Albany International|Albany International Corporation
Albastar Ltd|Albastar d.o.o.
Albatron Technology|Albatron Technology Co., Ltd.
Albayrak Group|Albayrak Holding
Albemarle Corporation|ALBEMARLE CORP
Albert Heijn B.V.|Allerhande
Alberta Electric System Operator|AESO
Alberta Farmers' Co-operative Elevator Co.|Alberta Farmers' Co-operative Elevator Company
Alberta Government Telephones|Alberta Government Telephones Commission
Alberta Health|Northern Lights Health Region
Alberta Investment Management Corporation|Alberta Investment Management
Alberta Ranches Ltd.|Alberta Ranches, Ltd.
Nexxus|Alberto VO5
New Albertson's Inc.|Max Foods
Albion Motors|Albion CX22S
Stonebridge International|Albright Capital Management
ALBtelecom|Albtelecom
Alcatel Marine|Alcatel-Lucent
Alcatel One Touch Pop C7|Alcatel One Touch
Alchemy API|AlchemyAPI
Millennium Entertainment|Millenium Films
Kromex|Aluminum Company Of America
Systane|Systane Lubricant Eye Drops
ALDAR Properties|Aldar Properties
Alden's|Aldens
Alderac|Alderace Entertainment Group
Aldermaston Brewery|Strange's Brewery
Alderon Iron Ore Corp|Alderon Iron Ore Corp.
Alderwoods Group|Loewen Group
ALDI Einkauf GmbH & Compagnie, oHG|Aldi Einkauf GmbH & Co. oHG
Aldila, Inc.|Aldila
ALDO Groupe|ALDO Group
Aldon Inc.|Rocket Aldon
Aldus|Aldus Corporation
Alembic Inc|Alembic Bass
Alenia Aeronautica|Alenia Aeronautica SpA
Aleph Objects, Inc.|LulzBot
Alere|Alere Inc.
Alereon, Inc|Alereon
Aleris International, Inc.|Aleris International
AlertNet|Alertnet
Alerus Financial Corp.|Alerus Financial Corporation
Alesis|Alesis ADAT HD24
Alex. Brown|Alex. Brown & Sons
Alex and Ani|Alex And Ani
Alexanders Inc.|Alexander's
Alexander and Baldwin|Alexander & Baldwin Building
Alexander & Catalano|Alexander and Catalano
Alexander & james|Alexander & James
Transbus|Transbus International
Alexander Stephen & Sons|Alexander Stephens and Sons
Alexion Pharmaceuticals|Alexion Pharmaceuticals Inc
Alexium International Group Limited|Alexium International Group Ltd.
Alexon Group|Alexon group
Alfa Bank Ukraine|Alfa-Bank
Alfa-Vita Vassilopoulos|Alfa-Beta Vassilopoulos
Aesar|Alfa Aesar
Alfa Group Consortium|Alfa Group
Alfa Laval|AB Separator
Alfa Romeo Automobiles S.p.A.|Alfa Romeo Automobiles
Booth Steamship Company|Alfred booth and company
Alfred Dunhill|Alfred Dunhill Ltd.
Alfred Herbert Limited|Alfred Herbert company
Alfred McAlpine|Alfred McAlpine plc
CTBC|Algar Telecom
Algeria's News Agency|Algerie Presse Service
Algeta|Algeta ASA
Algoma Central Corp.|Algoma Central
Algonquin Power & Utilities Corp.|Algonquin Power
Algorithmics Inc, an IBM Company|Algorithmics Incorporated
Ali Al Atiq Commercial Corporation|Ali Al Atiq Commericial Corporation
Aliansce Shopping Centers|Aliansce
List of current Alias Enterprises publications|Alias Comics
Alibaba Pictures|Alibaba Films Group
Alibris|Alibris.com
Alicesoft|Alice Soft
Alientrap games inc|Alientrap
Alien ware|Alienware M
Anixter Pentacon|Anixter Aerospace Hardware
Alimentation Couche-Tard inc.|Provi-Soir
Alimentos Polar|Alimentos Polar, C. A.
Alimera Sciences|Alimera Sciences, Inc.
AlintaGas|Alintagas
Alion|Alion Science and Technology
Alisport srl|Idrovario Propellers
Aliw Broadcasting Corporation|Home Radio
Alkem Laboratories|Alkem Laboratories, Ltd.
Mort Subite|De Keersmaeker
Alkermes Inc.|Alkermes, Inc.
ALKO|Alko
All-Clad|All-Clad Metalcrafters, LLC
Macon Motor Car Company|All-Steel
ALL3MEDIA|All3media
AllSaints|Allsaints
All American Food|All American Foods Inc.
All American Semiconductor|All American Semiconductor Inc
All American Communications Television|All American Communications
All headline news|All Headline News
All Media Guide|All Media Group
All That is Heavy|StonerRock.com
All Youth Channels, Inc.|All Youth Channels
ZAM.com|Allakhazam
Allbritton Communications Company|Allbritton Communications
Part of The Avvashya Group|Allcargo Logistics Limited
Allco Finance Group|Allco Finance Group Limited
Alleanza|Alleanza Assicurazioni
Alleghany Corp|RSUI
Allegheny Power Systems|Allegheny Energy Service Corporation
Allegheny Technologies, Inc.|Allegheny Technologies Inc
Allegion|Allegion Public Limited Company
AeroTek|Allegis Group
Allen and Company|Allen & Co.
Allen and Heath|Allen & Heath
ALLEN Career Institute|Allen Career Institute
Allen's Boots|Allens Boots
L33t Magazine|Allers
Allergan, Inc|Allergan, inc
Allergan, plc|Allergan Inc
Alli Sports|Dew Action Sports Tour
Alliance Bernstein|Alliance California Municipal Income Fund, Inc.
Alliance and Leicester|Alliance & Leicester plc
Alliance-Atlantis|AACB
Alliance Financial Group|Alliance Bank Malaysia Berhad
Alliance Boots|UniChem PLC
Alliance Cinemas|Alliance Atlantis Cinemas
Comenity|Aspen Marketing Services
Alliance Entertainment|Alliance Entertainment Corp
EOne Alliance|Aurum Producciones
Alliance Healthcare|Alliance UniChem
Alliance One International|Alliance One International, Inc.
Oregon and Washington Trust Company|Dundee Investment Company
Alliance for school choice|Alliance for School Choice
Alliance of automobile manufacturers|Alliance of Automobile Manufacturers
Amptp|Alliance of Motion Picture and Television Producers
Alliant Aviation LLC|Alliant Aviation
Interstate Power and Light Company|Wisconsin Power and Light Company
ATK Launch Systems|Allied Technologies
Allianz Insurance|Allianz AG
AlliedBarton Security Services|AlliedBarton
Allied Signal Company|Signal Oil & Gas
Allied Artists Music Group, International|Allied Artists Television
Allied Bank of Pakistan Limited|Allied Bank of Pakistan
Allied Bank Zimbabwe Limited|Zimbabwe Allied Banking Group
ALLIED CAPITAL CORP|Allied Capital Corporation
Allied Chemical and Dye Corporation|Allied Chemical Corporation
Allied Council for Commerce and Logistics|Allied Council for commerce and logistics
Allied Domecq plc|Allied Distillers
Hambro Life|Allied Dunbar
Allied Gold Limited|Allied Gold
Allied Property and Casualty Insurance Company|Allied Group
AIB GB|Allied Irish Bank
A.I.B|Munster and Leinster Bank
Allied London|Allied London Properties
Allied Marble Inc.|Allied Marble & Granite
Allied American University, Laguna Beach|Allied Business Schools
Allied Telesyn|Allied Telesis Holdings K.K.
Allied Van Lines|Allied Worldwide
Allied Waste Industries Inc|Allied Waste
Allied Wireless Communications Corporation|Atlantic Tele-Network, Inc.
Allina Hospitals & Clinics|Allina
Allion Healthcare|Allion Healthcare Inc.
Allis-Chalmers Manufacturing|Fraser and Chalmers
Allison Engine Company|Allison Engine
Allison Transmission GM|GM-Allison hybrid-powered bus
Allmaenna Svenska Elektriska Aktiebolaget|Asea-Atom
Allot Communications|Allot Communications Ltd.
Allozyne Inc.|Allozyne
Eclypsis|Allscripts Misys
Allsec technologies|Allsec Technologies
Allstate Corp|Allstate Life Insurance Company
NTNI|Northbrook Technology
Allstream Inc.|Unitel Communications Incorporated
Allsup's|Allsups
Alltel Corporation|Allied Telephone
Allwinner F13|Allwinner F1C100
Ally bank|Ally Bank
GM Flex Card|GMAC Financial Services
Alma Mater Europaea - European Center, Maribor|Alma Mater Europaea - Evropsko sredisce Maribor
Alma Media|Profesia
Tia SA|Tia.com.ec
Almaz-Antey|Almaz-Antei
Laboratorios Almirall|Almirall, S.A.
Alnylam Pharmaceuticals|Alnylam Pharmaceuticals, Inc.
Aloe private equity|Aloe Private Equity
Aloft Hotel|Aloft Hotels
Alon USA|Alon USA Energy Inc.
Alpinvest Partners NV|AlpInvest Partners NV
Alpargatas S.A.|Osklen
Alpari|Alpari Group
